edge_key, edge_count
(9->5), 45
(5->6), 1
(6->1), 1
(1->7), 3
(7->3), 3
(3->8), 2
(8->4), 8
(4->11), 4
(11->10), 7
(10->2), 1
(2->9), 42
(5->9), 3
(9->2), 2
(2->6), 1
(6->10), 1
(10->1), 1
(11->5), 1
(11->8), 6
(8->6), 1
(6->4), 6
(4->7), 3
(7->1), 42
(1->3), 5
(3->2), 1
(5->10), 1
(10->11), 5
(10->6), 1
(6->9), 1
(5->11), 9
(8->2), 1
(2->4), 1
(3->1), 3
(1->10), 5
(11->4), 1
(1->6), 13
(6->8), 37
(8->10), 32
(10->3), 34
(3->9), 2
(5->2), 2
(2->11), 3
(11->1), 1
(7->6), 1
(4->8), 1
(11->7), 2
(7->10), 2
(10->8), 2
(8->3), 6
(6->2), 2
(5->4), 32
(11->2), 30
(4->6), 30
(10->7), 4
(3->11), 4
(3->7), 36
(1->11), 22
(4->5), 1
(4->2), 9
(2->5), 1
(9->11), 1
