edge_key, edge_count
(2->21), 1
(21->8), 2
(8->10), 8
(10->13), 1
(13->19), 4
(19->22), 1
(22->3), 1
(3->16), 1
(16->7), 1
(7->18), 1
(18->5), 11
(5->6), 2
(6->14), 1
(14->20), 8
(20->1), 2
(1->12), 1
(12->4), 1
(4->15), 1
(15->11), 1
(11->17), 2
(17->9), 1
(9->2), 3
(13->9), 1
(9->5), 1
(5->3), 1
(3->17), 5
(17->8), 1
(8->21), 8
(21->10), 7
(10->19), 7
(19->4), 11
(4->18), 1
(18->20), 1
(1->6), 1
(6->22), 1
(22->2), 12
(2->11), 1
(11->16), 16
(16->15), 1
(15->7), 6
(7->14), 1
(14->12), 1
(12->13), 12
(19->13), 6
(13->12), 1
(12->17), 1
(17->16), 1
(16->3), 13
(3->9), 1
(9->6), 1
(6->4), 4
(4->1), 1
(1->8), 1
(21->11), 5
(11->7), 1
(7->5), 1
(5->14), 1
(20->18), 1
(18->15), 3
(15->2), 1
(2->22), 1
(22->10), 1
(19->7), 1
(7->12), 1
(12->5), 1
(6->3), 1
(3->20), 4
(20->2), 1
(2->10), 1
(10->8), 1
(8->11), 4
(16->18), 2
(18->1), 1
(1->21), 1
(21->17), 10
(17->15), 1
(15->14), 1
(14->22), 1
(22->9), 1
(9->4), 1
(4->13), 1
(4->9), 11
(9->14), 11
(20->22), 12
(2->18), 15
(5->1), 7
(1->11), 5
(3->15), 7
(7->6), 11
(6->12), 5
(13->8), 7
(17->10), 3
(1->15), 2
(6->11), 4
(17->12), 10
(10->14), 4
(14->9), 4
(9->19), 5
(4->20), 4
(20->15), 2
(15->22), 2
(5->7), 9
(6->13), 2
(13->1), 8
(3->21), 1
(12->8), 4
(14->15), 4
(15->16), 3
(16->20), 3
(17->1), 1
(1->3), 3
(3->10), 1
(10->1), 2
(1->19), 3
(15->20), 1
(22->5), 1
(3->2), 2
(15->21), 1
(11->3), 1
(7->19), 2
(19->10), 2
(10->5), 2
(5->8), 2
(8->6), 3
(22->21), 4
(1->2), 2
(18->11), 2
(15->5), 2
(7->10), 1
(19->8), 1
(10->4), 2
(4->14), 3
(14->21), 1
(17->11), 1
(11->9), 1
(9->1), 1
(6->21), 2
(15->17), 2
(7->20), 1
(20->8), 1
(14->2), 2
(18->22), 1
(12->6), 1
(16->9), 1
(5->17), 1
(1->7), 1
(3->8), 1
(2->19), 1
(13->4), 1
(17->21), 5
(10->12), 5
(8->16), 1
(3->7), 1
(7->1), 1
(1->22), 1
(22->20), 1
(20->11), 1
(11->6), 1
(6->5), 1
(5->18), 1
(18->9), 3
(2->6), 4
(11->19), 1
(13->5), 2
(15->3), 4
(12->20), 1
(20->16), 2
(16->22), 2
(22->18), 3
(18->7), 1
(7->4), 3
(6->8), 3
(16->13), 1
(19->5), 2
(1->17), 3
(12->15), 3
(20->14), 2
(14->7), 3
(4->22), 1
(11->4), 1
(4->19), 1
(7->2), 1
(18->13), 1
(9->22), 1
